contract_id,bp_type_id,me,te,runs_per_copy,bpc_copy_count,total_bpc_runs,contract_price,price_per_run,start_location_id,contract_region_id_raw,contract_system_id_raw,date_expired,title,bpc_benchmark_type_id,bpc_benchmark_me,bpc_benchmark_te,bpc_market_sample_count,bpc_market_avg_per_run,bpc_market_median_per_run,bpc_market_p25_per_run,bpc_market_p75_per_run,bpc_market_basis,bpc_current_cost_per_run,bpc_discount_vs_avg,bpc_discount_vs_median,bpc_contract_market_value_est,bpc_intrinsic_value_surplus,station_name,system_id,system_name,region_id,security,secure_jumps_to_jita,shortest_jumps_to_jita,risk_tier,risk_rank,is_player_structure,friendly_sov,friendly_region,sov_alliance_id,friendly_alliance_id,friendly_alliance_name,friendly_alliance_ticker,bpc_value_score,blueprint_name,blueprints,date_issued,contract_age_hours,mail_freshness_score,bpc_intrinsic_signal,mail_eligible,mail_filter_reason
235659656,36971,,,,50,63,100000000.0,1587301.5873015872,60008494,10000043,0,2026-10-01T01:16:20Z,x50 = 2m each. Very cheap Bulk.,36971,,,18,8715555.5,8500000.0,8400000.0,8900000.0,same_type_all_ME_TE,1587301.5873015872,-0.8178771752068371,-0.8132586367880486,549079996.5,449079996.5,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,100.0,Raitaru Blueprint,"50x Raitaru Blueprint [63 total runs, mixed ME/TE]",2026-09-03T01:16:20+00:00,11.175415110833335,40.0,True,False,INTRINSIC_VALUE_OBSERVATION_ONLY
235536482,848,10.0,20.0,,49,2920,40000000.0,13698.6301369863,60008494,10000043,0,2026-09-27T12:53:36Z,,848,10.0,20.0,8,175452.8985507246,166666.66666666666,166666.66666666666,166666.66666666666,same_type_ME10_TE20,13698.6301369863,-0.9219241730963712,-0.9178082191780822,512322463.7681159,472322463.7681159,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,98.0,Tachyon Beam Laser I Blueprint,"49x Tachyon Beam Laser I Blueprint [2920 total runs, ME10/TE20]",2026-08-30T12:53:36+00:00,95.55430399972222,-30.0,True,False,INTRINSIC_VALUE_OBSERVATION_ONLY
235008411,23914,5.0,10.0,1.0,1,1,45000000.0,45000000.0,60008494,10000043,0,2026-09-11T14:36:28Z,,23914,5.0,10.0,27,202129629.62962964,190000000.0,89000000.0,300000000.0,same_type_all_ME_TE,45000000.0,-0.777370590929913,-0.7631578947368421,202129629.62962964,157129629.62962964,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,93.6,Nyx Blueprint,"1x Nyx Blueprint [1 total runs, ME5/TE10]",2026-08-14T14:36:28+00:00,477.83985955527777,-30.0,True,False,INTRINSIC_VALUE_OBSERVATION_ONLY
235446449,46578,0.0,0.0,1.0,1,1,100000000.0,100000000.0,1040862488202,10000042,0,2026-09-24T22:04:18Z,,46578,0.0,0.0,3,328333333.3333333,345000000.0,317500000.0,347500000.0,same_type_ME0_TE0,100000000.0,-0.6954314720812182,-0.7101449275362319,328333333.3333333,228333333.3333333,玩家建筑 1040862488202,30002086,Turnur,10000042,0.4,-1,14,C 低安高风险,3,True,False,False,0,99013541,Fraternity Auxiliary,F.A.X,90.0,Dread Guristas Standup Variable Spectrum ECM Blueprint,"1x Dread Guristas Standup Variable Spectrum ECM Blueprint [1 total runs, ME0/TE0]",2026-08-27T22:04:18+00:00,158.37597066638887,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235199864,57518,10.0,20.0,400.0,1,400,30000000.0,75000.0,60008494,10000043,0,2026-09-17T09:42:28Z,10/20 400 runs,57518,10.0,20.0,19,394065.78815789474,640000.0,62450.0,680000.0,same_type_ME10_TE20,75000.0,-0.8096764493294483,-0.8828125,157626315.2631579,127626315.2631579,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,89.1,Genetic Lock Preserver Blueprint,"1x Genetic Lock Preserver Blueprint [400 total runs, ME10/TE20]",2026-08-20T09:42:28+00:00,338.73985955527775,-30.0,True,False,INTRINSIC_VALUE_OBSERVATION_ONLY
235627026,88148,0.0,0.0,1.0,1,1,135000000.0,135000000.0,1053970513596,10000003,0,2026-09-30T02:19:06Z,,88148,0.0,0.0,4,51330500000.0,45086000000.0,166500000.0,96250000000.0,same_type_ME0_TE0,135000000.0,-0.9973699847069482,-0.9970057223971964,51330500000.0,51195500000.0,玩家建筑 1053970513596,30000240,4-HWWF,10000003,-0.5,-1,16,D 非友军00高风险,4,True,False,False,99003581,99013541,Fraternity Auxiliary,F.A.X,88.0,Triplot Scan Acquisition Array Blueprint,"1x Triplot Scan Acquisition Array Blueprint [1 total runs, ME0/TE0]",2026-09-02T02:19:06+00:00,34.129303999722225,0.0,False,False,BELOW_STRICT_MAIL_MARGIN
234790431,88148,0.0,0.0,1.0,1,1,172000000.0,172000000.0,1049588174021,10000009,0,2026-09-05T02:49:50Z,,88148,0.0,0.0,4,51321250000.0,45075000000.0,146250000.0,96250000000.0,same_type_ME0_TE0,172000000.0,-0.996648561755608,-0.9961841375485302,51321250000.0,51149250000.0,玩家建筑 1049588174021,30000772,C-J6MT,10000009,-0.3,-1,26,D 非友军00高风险,4,True,False,False,1354830081,99013541,Fraternity Auxiliary,F.A.X,88.0,Triplot Scan Acquisition Array Blueprint,"1x Triplot Scan Acquisition Array Blueprint [1 total runs, ME0/TE0]",2026-08-08T02:49:50+00:00,633.6170817775,-30.0,False,False,BELOW_STRICT_MAIL_MARGIN
235199873,57522,10.0,20.0,400.0,1,400,30000000.0,75000.0,60008494,10000043,0,2026-09-17T09:42:54Z,10/20 400 runs,57522,10.0,20.0,19,358989.50178650283,99875.0,83750.0,708369.5652173914,same_type_ME10_TE20,75000.0,-0.7910802415481114,-0.2490613266583229,143595800.71460113,113595800.71460111,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,87.0,Genetic Mutation Inhibitor Blueprint,"1x Genetic Mutation Inhibitor Blueprint [400 total runs, ME10/TE20]",2026-08-20T09:42:54+00:00,338.73263733305555,-30.0,True,False,INTRINSIC_VALUE_OBSERVATION_ONLY
235199880,57522,10.0,20.0,400.0,1,400,30000000.0,75000.0,60008494,10000043,0,2026-09-17T09:43:12Z,10/20 400 runs,57522,10.0,20.0,19,358989.50178650283,99875.0,83750.0,708369.5652173914,same_type_ME10_TE20,75000.0,-0.7910802415481114,-0.2490613266583229,143595800.71460113,113595800.71460111,Amarr VIII (Oris) - Emperor Family Academy,30002187,Amarr,10000043,0.9,45,11,B 其他高安,2,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,87.0,Genetic Mutation Inhibitor Blueprint,"1x Genetic Mutation Inhibitor Blueprint [400 total runs, ME10/TE20]",2026-08-20T09:43:12+00:00,338.72763733305555,-30.0,True,False,INTRINSIC_VALUE_OBSERVATION_ONLY
235478679,15511,10.0,20.0,,20,5800,10000000.0,1724.1379310344828,1039956100669,10000032,0,2026-09-25T21:35:54Z,20x Valkerie I BPC - 10ME 20TE,15511,10.0,20.0,38,17287.42631578947,7000.0,4000.0,34000.0,same_type_ME10_TE20,1724.1379310344828,-0.9002663612535695,-0.7536945812807881,100267072.63157894,90267072.63157894,Fricoure - House of Five Venoms - Prod,30002734,Fricoure,10000032,0.8,17,15,A2 Jita近郊高安,1,True,False,False,0,99013541,Fraternity Auxiliary,F.A.X,86.5,Valkyrie I Blueprint,"20x Valkyrie I Blueprint [5800 total runs, ME10/TE20]",2026-08-28T21:35:54+00:00,134.84930399972222,-30.0,True,False,INTRINSIC_VALUE_OBSERVATION_ONLY
