deal_class,risk_tier,risk_rank,deal_score,contract_id,contract_price,item_type_count,item_total_units,items,top_value_items,jita_buy_gross,sales_tax_if_instant,instant_liquidation_net_value,haul_reserve,instant_net_profit,instant_net_roi,jita_replacement_value,list_broker_fee,list_sales_tax,list_relist_reserve,list_net_profit_est,list_net_roi_est,buy_unit_coverage,fully_buy_types,priced_buy_types,priced_sell_types,total_m3,start_location_id,station_name,system_id,system_name,region_id,security,secure_jumps_to_jita,shortest_jumps_to_jita,is_player_structure,friendly_sov,friendly_region,sov_alliance_id,friendly_alliance_id,friendly_alliance_name,friendly_alliance_ticker,date_expired,eve_contract_url,mail_net_profit,mail_net_roi,mail_eligible,mail_filter_reason
A 即时买单套利,A2 Jita近郊高安,1,50.1,235488250,295000000.0,3,4,Large Warhead Rigor Catalyst II x2 | Raven x1 | Large Warhead Flare Catalyst II x1,Raven x1≈144.3M | Large Warhead Rigor Catalyst II x2≈133.0M | Large Warhead Flare Catalyst II x1≈65.1M,342420000.0,11556674.999999998,330863325.0,0.0,35863325.0,0.1215705932203389,386150000.0,5792250.0,13032562.499999998,2316899.9999999995,70008287.5,0.2309672522258071,1.0,3,3,3,50060.0,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-09-26T05:54:01Z,https://eve-contract-opener.99617224.workers.dev/c/235488250,35863325.0,0.1215705932203389,True,A_INSTANT_BUY_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,75.0,235311565,75000000.0,36,106,Women's 'State Protector' Beret x4 | Men's Caldari 'Patriot' T-Shirt x4 | Men's 'State Protector' Beret x4 | Women's Caldari 'Patriot' T-Shirt x4 | Men's 'Republic Valklear' Jacket x3 | Men's 'Republic Valklear' Pants x3 | Women's 'Republic Valklear' Jacket x3 | Women's 'Republic Valklear' Pants x3 | Men's 'Federal Defender' Pants x3 | Women's 'Federal Defender' Pants x3 | Men's 'Federal Defender' Jacket x3 | Women's 'Federal Defender' Jacket x3,Women's 'State Protector' Beret x4≈5.2M | Women's 'Republic Valklear' Jacket x3≈3.3M | Men's 'State Protector' Beret x4≈3.2M | Women's 'State Protector' Pants x3≈3.0M | Men's 'State Protector' Jacket x3≈2.7M,29069965.4,981111.33225,28088854.06775,0.0,-46911145.93225,-0.6254819457633334,323369580.0,4850543.7,10913723.325,1940217.4799999995,230665095.495,2.82018521611954,1.0,36,36,36,10.6,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-09-20T15:43:52Z,https://eve-contract-opener.99617224.workers.dev/c/235311565,230665095.495,2.82018521611954,True,B_LIST_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,75.0,235701369,160000000.0,11,11,Atron Aurora Universalis SKIN x1 | Atron Glacial Drift SKIN x1 | Catalyst Inner Zone Vanguard SKIN x1 | Megathron Aurora Universalis SKIN x1 | Celestis Semiotique Sports SKIN x1 | Cormorant Zento Isideko Combine SKIN x1 | Thrasher Luminaire Zenith SKIN x1 | Tornado Glacial Drift SKIN x1 | Naga Wiyrkomi SKIN x1 | Corax Semiotique Sports SKIN x1 | Brutix AIR Laboratories SKIN x1,Corax Semiotique Sports SKIN x1≈41.3M | Brutix AIR Laboratories SKIN x1≈25.4M | Celestis Semiotique Sports SKIN x1≈13.5M | Cormorant Zento Isideko Combine SKIN x1≈1.7M | Megathron Aurora Universalis SKIN x1≈0.9M,83654570.0,2823341.7375,80831228.2625,0.0,-79168771.7375,-0.494804823359375,1117291000.0,16759365.0,37708571.24999999,6703745.999999998,896119317.75,4.884465944491697,1.0,11,11,11,0.11,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-10-02T10:41:48Z,https://eve-contract-opener.99617224.workers.dev/c/235701369,896119317.75,4.884465944491697,True,B_LIST_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,75.0,235662362,150000000.0,16,16,Typhoon Hunter's Quiver SKIN x1 | Archon Hunter's Quiver SKIN x1 | Armageddon Hunter's Quiver SKIN x1 | Atron Hunter's Quiver SKIN x1 | Breacher Hunter's Quiver SKIN x1 | Caracal Hunter's Quiver SKIN x1 | Chimera Hunter's Quiver SKIN x1 | Exequror Hunter's Quiver SKIN x1 | Hel Hunter's Quiver SKIN x1 | Hyperion Hunter's Quiver SKIN x1 | Inquisitor Hunter's Quiver SKIN x1 | Maller Hunter's Quiver SKIN x1,Raven Hunter's Quiver SKIN x1≈22.1M | Thanatos Hunter's Quiver SKIN x1≈21.3M | Typhoon Hunter's Quiver SKIN x1≈7.2M | Hel Hunter's Quiver SKIN x1≈4.7M | Armageddon Hunter's Quiver SKIN x1≈4.0M,68597920.0,2315179.8,66282740.2,0.0,-83717259.8,-0.5581150653333333,409395000.0,6140925.0,13817081.249999998,2456369.9999999995,236980623.75,1.4942286610247673,1.0,16,16,16,0.16,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-10-01T03:50:19Z,https://eve-contract-opener.99617224.workers.dev/c/235662362,236980623.75,1.4942286610247673,True,B_LIST_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,75.0,235638639,301511824.0,73,335,Harmonius Bridge - Limited x33 | Arkombine Dawn Satin - Limited x29 | Avalon Aqua Gloss - Limited x20 | Radiant Aureate Metallic - Limited x18 | Flowers of Matar Satin - Limited x12 | Darkness Forged Ferros Metallic - Limited x12 | Defiant Latten Matte - Limited x12 | Avalon Aqua Matte - Limited x11 | Pillars of the Republic - Limited x10 | Liberated Matar Background x9 | Silver Rose Metallic - Unlimited x8 | Polar Glaze Matte - Unlimited x8,Imperial Gold Metallic - Limited x3≈12.8M | Liberated Matar Background x9≈8.4M | Darkness Forged Ferros Metallic - Limited x12≈7.0M | Rich Vein - Unlimited x1≈1.8M | Arkombine Dawn Satin - Limited x29≈1.7M,43137698.0,1455897.3075,41681800.6925,0.0,-259830023.3075,-0.8617573263312552,577260220.0,8658903.299999999,19482532.425,3463561.319999999,244143398.95500004,0.7784333786628946,1.0,73,73,73,33.5,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-09-30T12:22:58Z,https://eve-contract-opener.99617224.workers.dev/c/235638639,244143398.95500004,0.7784333786628946,True,B_LIST_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,75.0,235481613,555555555.0,108,169,Arbitrator Exoplanets Hunter SKIN x4 | Svipul Exoplanets Hunter SKIN x4 | Merlin Exoplanets Hunter SKIN x3 | Zealot Exoplanets Hunter SKIN x3 | Probe Exoplanets Hunter SKIN x3 | Muninn Exoplanets Hunter SKIN x3 | Osprey Exoplanets Hunter SKIN x3 | Impairor Exoplanets Hunter SKIN x3 | Claw Exoplanets Hunter SKIN x3 | Punisher Exoplanets Hunter SKIN x3 | Augoror Exoplanets Hunter SKIN x3 | Kirin Exoplanets Hunter SKIN x3,Muninn Exoplanets Hunter SKIN x3≈12.6M | Epithal Exoplanets Hunter SKIN x2≈10.1M | Vagabond Exoplanets Hunter SKIN x2≈10.0M | Svipul Exoplanets Hunter SKIN x4≈8.0M | Confessor Exoplanets Hunter SKIN x1≈6.5M,121545285.4,4102153.38225,117443132.01775,0.0,-438112422.98225,-0.7886023621566524,854857000.0,12822855.0,28851423.75,5129141.999999999,252498024.25,0.4402697460032749,1.0,108,108,108,11.68,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-09-26T00:19:25Z,https://eve-contract-opener.99617224.workers.dev/c/235481613,252498024.25,0.4402697460032749,True,B_LIST_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,75.0,234771235,750000000.0,111,418,Women's Yoiul Stormchasers Pants x54 | Women's Biosecurity Response Team Mask x30 | Men's Biosecurity Response Team Mask x29 | Men's Yoiul Stormchasers Suit x17 | Men's 'RubySet TorsoRig' Body Augmentation x16 | Men's Yoiul Stormchasers Pants x11 | Men's 'Hephaestus' Pants (white/red) x11 | Men's Project Discovery Cytometry Cap x10 | Men's 'Sanguine Harvest' Shoes x7 | Men's Yoiul Stormchasers Cap x7 | Women's Aurora Universalis T-Shirt x6 | Women's Yoiul Stormchasers T-Shirt x6,Men's 'Semiotique Superluminal' Jacket x3≈40.7M | Women's 'Fatal Elite' Combat Boots x1≈33.1M | Women's SOE Enhanced Biosecurity Mask x1≈33.0M | Women's 'Fatal Elite' Combat Pants x1≈30.7M | Women's Genolution Combat Suit x1≈15.0M,249254396.27,8412335.8741125,240842060.39588752,0.0,-509157939.6041125,-0.6788772528054834,1217450711.0,18261760.665,41088961.49625,7304704.265999998,400795284.5727501,0.5167774816158506,1.0,111,111,111,41.8,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-09-04T13:35:57Z,https://eve-contract-opener.99617224.workers.dev/c/234771235,400795284.5727501,0.5167774816158506,True,B_LIST_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,75.0,234832771,2000000000.0,1,1,Svipul In Rust We Trust SKIN x1,Svipul In Rust We Trust SKIN x1≈185.7M,185700000.0,6267374.999999999,179432625.0,0.0,-1820567375.0,-0.9102836875,3000000000.0,45000000.0,101250000.0,17999999.999999996,835750000.0,0.4051139117789626,1.0,1,1,1,0.01,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-09-06T07:04:51Z,https://eve-contract-opener.99617224.workers.dev/c/234832771,835750000.0,0.4051139117789626,True,B_LIST_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,74.9,235585264,600000000.0,346,943,Corax Aurora Universalis SKIN x15 | Ashimmu Aurora Universalis SKIN x13 | Talwar Republic Fleet SKIN x12 | Vengeance Glacial Drift SKIN x9 | Slasher Aurora Universalis SKIN x9 | Cheetah Versus Redforce SKIN x8 | Gallente Shuttle Glacial Drift SKIN x8 | Magus Glacial Drift SKIN x8 | Celestis Federation Navy SKIN x8 | Apotheosis Versus Redforce SKIN x8 | Stabber Versus Blueforce SKIN x8 | Enyo Aurora Universalis SKIN x7,Archon Aurora Universalis SKIN x3≈37.3M | Ashimmu Aurora Universalis SKIN x13≈15.8M | Ragnarok Glacial Drift SKIN x3≈12.5M | Vagabond Glacial Drift SKIN x4≈11.3M | Flycatcher Aurora Universalis SKIN x3≈10.2M,284953369.0799999,9617176.206449997,275336192.87354994,0.0,-324663807.12645006,-0.5411063452107501,8398689900.0,125980348.5,283455784.12499994,50392139.39999998,7338861627.975,9.452758492029764,0.9946977730646872,344,345,346,9.43,60003760,Jita IV - Moon 4 - Caldari Navy Assembly Plant,30000142,Jita,10000002,0.9,0,0,False,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-09-28T20:39:27Z,https://eve-contract-opener.99617224.workers.dev/c/235585264,7338861627.975,9.452758492029764,True,B_LIST_ORDER
B 挂单潜在套利,A2 Jita近郊高安,1,74.7,235022581,250000000.0,47,157,Cereulean Crest Metallic - Limited x9 | Numbing Aurora - Limited x9 | Gilded Glory Metallic - Limited x9 | Cross Drift - Limited x6 | Strategos Adamant - Limited x6 | Twilight Treasure Gloss - Limited x6 | Polemos Bronze - Limited x5 | Drifter Sweeps - Limited x4 | Synthetic Mocha Matte - Unlimited x4 | Vibrant Truth Matte - Limited x3 | Darkest Amethyst Matte - Limited x3 | Crystal Glaze Gloss - Limited x3,Architect of Nightmares - Unlimited x2≈67.1M | Drifter Sweeps - Limited x4≈38.4M | Gilded Glory Metallic - Limited x9≈10.3M | Twilight Treasure Gloss - Limited x6≈9.0M | Cross Drift - Limited x6≈7.2M,162143850.0,5472354.937499999,156671495.0625,2050240.0,-95378744.9375,-0.3784116410184731,474667440.0,7120011.6,16020026.099999998,2848004.639999999,196629157.66,0.7504406772324071,1.0,47,47,47,15.7,1033050967689,Azer - IChooseYou Market and Industry,30003018,Azer,10000037,0.7,16,14,True,False,False,0,99013541,Fraternity Auxiliary,F.A.X,2026-09-11T23:55:18Z,https://eve-contract-opener.99617224.workers.dev/c/235022581,196629157.66,0.7504406772324071,True,B_LIST_ORDER
