product_type_id,product_name,last_seen,opportunity_class,opportunity_score,recommendation,persistence_7d,scan_days_7d,profitable_days_7d,avg_daily_volume_30d,vwap_30d,current_bid_premium_vs_30d,best_current_net_roi,best_current_net_profit,current_profitable_contracts,eve_market_url
46575,1x Dark Blood Standup Heavy Energy Neutralizer,2026-09-19,新机会/待观察,71.8,B-：当前不错，继续观察,1.0,1,1,2.3157894736842106,275329545.4538636,-0.1566469932704361,0.4054736416714668,64727919.0,1,https://eve-contract-opener.99617224.workers.dev/m/46575
47139,50x Standup Firbolg I,2026-09-19,周期机会,69.2,B+：可重点做,1.0,3,3,54.96428571428572,9849319.037751786,-0.1055219181923283,0.1703880493482629,61969528.5,6,https://eve-contract-opener.99617224.workers.dev/m/47139
40734,5x Heavy Warp Disruptor II,2026-09-19,排除：盈利买盘不足,64.5,D：不做,1.0,3,3,15.833333333333334,126199810.52633683,-0.2419164529566827,0.1647360928822757,78686416.5,1,https://eve-contract-opener.99617224.workers.dev/m/40734
41504,5x Capital Ancillary Shield Booster,2026-09-19,新机会/待观察,61.8,B-：当前不错，继续观察,1.0,1,1,11.3,91288908.55466078,-0.1189510174520142,0.1413783110491891,49059215.44999999,1,https://eve-contract-opener.99617224.workers.dev/m/41504
23416,9x 'Peace' Large Remote Armor Repairer,2026-09-19,深度不足型瞬时机会,60.9,C：抢单型，先确认买盘,1.0,5,5,12.655172413793103,189660762.94152588,-0.0715000969689592,0.1002541657208813,139936858.93000007,1,https://eve-contract-opener.99617224.workers.dev/m/23416
57478,12000x Auto-Integrity Preservation Seal,2026-09-19,深度不足型瞬时机会,58.2,C：抢单型，先确认买盘,1.0,1,1,153691.83333333334,46270.74865179347,-0.0209797481147052,0.0905052966940889,44590059.975,5,https://eve-contract-opener.99617224.workers.dev/m/57478
21009,40x Capital Propulsion Engine,2026-09-19,新机会/待观察,57.7,B-：当前不错，继续观察,1.0,1,1,91.2,13061220.75994152,-0.0774216115420782,0.0893990151387041,38229570.5,44,https://eve-contract-opener.99617224.workers.dev/m/21009
37183,1x Standup XL-Set Laboratory Optimization I,2026-09-19,新机会/待观察,53.4,B-：当前不错，继续观察,1.0,1,1,1.3333333333333333,12965000000.0,-0.170844581565754,0.1431276662667286,1300549317.2999992,5,https://eve-contract-opener.99617224.workers.dev/m/37183
21041,40x Capital Launcher Hardpoint,2026-09-19,深度不足型瞬时机会,52.8,C：抢单型，先确认买盘,1.0,2,2,54.34782608695652,11308244.799784,-0.1333756764633189,0.135523909638004,45276140.25,10,https://eve-contract-opener.99617224.workers.dev/m/21041
47138,50x Standup Dragonfly I,2026-09-19,深度不足型瞬时机会,48.5,C：抢单型，先确认买盘,1.0,1,1,47.69230769230769,11079152.419629032,-0.2158244899124779,0.1552993347843497,56503558.5,4,https://eve-contract-opener.99617224.workers.dev/m/47138
