contract_id,blueprints,products,contract_price,material_cost_jita_depth,manufacturing_job_cost,industry_scc_surcharge,industry_facility_tax,industry_sci_component,market_broker_fee,sales_tax,relist_cost_reserve,configured_haul_cost,gross_revenue,net_profit,net_roi,factory_system,factory_station,factory_sci,factory_jumps_from_jita,serial_job_hours,profit_per_serial_job_hour,haul_m3,break_even_haul_isk_per_m3,worst_buy_price_used,break_even_bid_per_unit,market_capacity_contracts,total_bpc_runs,bpc_cost_per_run,contract_region_id,contract_system_id,contract_start_location_id,date_expired,title,product_type_id,output_qty,is_single_product,market_history_days,avg_daily_volume_7d,avg_daily_volume_30d,vwap_7d,vwap_30d,order_count_30d,current_bid_premium_vs_30d,output_days_of_30d_volume,output_days_of_7d_volume,scan_days_7d,profitable_days_7d,persistence_7d,median_net_roi_7d,median_net_profit_7d,current_profitable_contracts,opportunity_score,opportunity_class,recommendation,eve_contract_search_hint,bpc_benchmark_type_id,bpc_benchmark_me,bpc_benchmark_te,bpc_market_sample_count,bpc_market_avg_per_run,bpc_market_median_per_run,bpc_market_p25_per_run,bpc_market_p75_per_run,bpc_market_basis,bpc_current_cost_per_run,bpc_discount_vs_avg,bpc_discount_vs_median,bpc_contract_market_value_est,bpc_intrinsic_value_surplus,valuation_basis,v2_verified_at,v2_snapshot_net_profit,v2_status,v2_grade,v2_score,v2_warning,v2_live_material_cost,v2_live_gross_revenue,v2_live_sales_tax,v2_live_net_profit,v2_live_net_roi,v2_stress_net_profit,v2_profit_change_pct,v2_material_max_slippage,v2_product_slippage,v2_product_best_buy,v2_product_vwap,v2_product_worst_buy,v2_orderbook_complete,v2_avg_daily_volume_30d,v2_est_fill_days,v2_historical_fill_rate,v2_liquidity_score,v2_liquidity_label,v2_capital_lock_days,v2_return_per_capital_day,v2_material_type_count,v2_live_product_type_id,v2_live_output_qty
236334774,"1x Capital Ancillary Shield Booster Blueprint [5 runs, ME0/TE0]",5x Capital Ancillary Shield Booster,35000000.0,292487583.90000004,13608863.0,10006517.0,625407.0,2976939.0,0.0,14383237.499999998,0.0,0.0,426170000.0,70690315.59999996,0.2072443622396465,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,34.0,2079126.929411764,87934.1,803.9010531750477,85210000.0,70602110.61319534,3,5,7000000.0,10000042,30002053.0,60005686,2026-10-21T18:24:59Z,,41504,5,True,29.0,6.666666666666667,9.79310344827586,90901999.99975,91391619.7186972,233.0,-0.0676388025261416,0.5105633802816902,0.75,6,6,1.0,0.1896185929789893,65312294.10999999,11,81.0,持续机会,A：重点关注,"1x Capital Ancillary Shield Booster Blueprint [5 runs, ME0/TE0] | 合同价 35000000 ISK | 到期 2026-10-21T18:24:59Z",41638,0.0,0.0,11,8334363.636363637,8000000.0,7750000.0,8800000.0,same_type_ME0_TE0,7000000.0,-0.1601038417068435,-0.125,41671818.18181819,6671818.181818187,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,70690315.59999996,SAFE,A,78.6,,292441714.25,426170000.0,14383237.499999998,70736185.25,0.20740673075638372,69999173.75,0.0006488816694437815,0.0,7.03894885030502e-05,85240000.0,85234000.0,85210000.0,True,10.266666666666667,1.391465677179963,0.2,90.0,high,2.80813234384663,0.07385931479008367,7,41504,5
235885150,"1x Porpoise Blueprint [10 runs, ME10/TE20]",10x Porpoise,6000000.0,759300075.0,40284143.0,29620694.0,1851293.0,8812156.0,0.0,31065525.0,0.0,0.0,920460000.0,83810257.0,0.1040366173111896,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,22.666666666666668,3697511.338235294,911864.75,91.91084204099349,92030000.0,83372234.72186285,2,10,600000.0,10000042,30002053.0,60005686,2026-10-07T19:41:01Z,10x runs / perfect,42244,10,True,30.0,49.71428571428572,47.03333333333333,98070344.82577585,98555414.59886605,1291.0,-0.0662106148650012,0.2126151665485471,0.2011494252873563,7,7,1.0,0.0989802487581878,80008064.61000001,8,68.2,持续机会,A：重点关注,"1x Porpoise Blueprint [10 runs, ME10/TE20] | 合同价 6000000 ISK | 到期 2026-10-07T19:41:01Z",43910,10.0,20.0,43,464720.93023255817,300000.0,298000.0,650000.0,same_type_ME10_TE20,600000.0,0.2910974328178952,1.0,4647209.302325582,-1352790.697674418,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,83810257.0,SAFE,A,77.2,,759896300.44,920460000.0,31065524.999999996,83214031.55999994,0.10322010690922093,82412417.01999998,-0.007113991310157386,0.004040122972012015,0.00015207473386921573,92060000.0,92046000.0,92030000.0,True,47.03333333333333,0.6074719044244205,1.0,100.0,high,1.551916348868865,0.06651138573574167,7,42244,10
236195152,"1x Standup Firbolg I Blueprint [50 runs, ME10/TE20]",50x Standup Firbolg I,7760000.0,326148300.0,17636156.0,12967762.0,810485.0,3857909.0,0.0,14900253.749999998,0.0,0.0,441489000.0,75044290.25,0.2134702708837484,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,64.6,1161676.3196594429,230261.5,325.9089784875022,8828000.0,7276469.981888745,2,50,155200.0,10000002,30000142.0,60003760,2026-10-17T12:09:31Z,10/20 - 50 Runs,47139,50,True,27.0,35.0,54.03703703703704,10056014.28642857,9944553.803564088,149.0,-0.1122779187100297,0.9252912954078136,1.4285714285714286,7,7,1.0,0.2055555589858224,72574709.0,6,73.1,持续机会,A：重点关注,"1x Standup Firbolg I Blueprint [50 runs, ME10/TE20] | 合同价 7760000 ISK | 到期 2026-10-17T12:09:31Z",47210,10.0,20.0,5,155342.216,155200.0,155200.0,155555.54,same_type_ME10_TE20,155200.0,-0.0009155012955397,0.0,7767110.800000001,7110.800000000745,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,75044290.25,SAFE,A,74.4,,326145462.94,441489000.0,14900253.749999998,75047127.31,0.21348006400007166,74498339.0,3.7805141344545986e-05,0.0008215253352425616,2.491506228765572e-05,8830000.0,8829780.0,8828000.0,True,51.56666666666667,2.7703389047926863,0.03333333333333333,80.0,high,5.462005571459352,0.039084556250833985,7,47139,50
236187738,"1x Standup Layered Armor Plating II Blueprint [5 runs, ME5/TE10]",5x Standup Layered Armor Plating II,50000000.0,617645177.0,16841320.0,12383323.0,773958.0,3684039.0,0.0,26642250.0,0.0,0.0,789400000.0,78271253.0,0.1143503244301399,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,68.21277777777777,1147457.3467010907,62895.96,1244.455971416924,156900000.0,141678964.45019403,3,5,10000000.0,10000002,30000142.0,60003760,2026-10-17T07:00:12Z,*mail Aluka 7th for more,47362,5,True,29.0,11.285714285714286,12.448275862068966,181521518.98556963,184255567.86756232,257.0,-0.1484653526846185,0.4016620498614958,0.4430379746835443,5,5,1.0,0.140185184760181,251475719.0,2,65.2,持续机会,A：重点关注,"1x Standup Layered Armor Plating II Blueprint [5 runs, ME5/TE10] | 合同价 50000000 ISK | 到期 2026-10-17T07:00:12Z",47363,5.0,10.0,1,3214285.714285714,3214285.714285714,3214285.714285714,3214285.714285714,same_type_all_ME_TE,10000000.0,2.111111111111111,2.111111111111111,16071428.57142857,-33928571.42857143,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,78271253.0,SAFE,B,68.9,,617552360.0,790800000.0,26689499.999999996,79716820.0,0.11647801890864919,63292878.0,0.018468683515261982,9.241436663386612e-05,0.0008843967150979153,158300000.0,158160000.0,158000000.0,True,12.3,1.1614401858304297,0.3,90.0,high,4.003639259904504,0.029093035447810913,7,47362,5
236301925,"1x 'Gjallarhorn' Explosive Doomsday Blueprint [1 runs, ME10/TE10]",1x 'Gjallarhorn' Explosive Doomsday,12000000.0,445034051.82,23588621.0,17344574.0,1084036.0,5160011.0,0.0,18687375.0,0.0,0.0,553700000.0,54389952.18000001,0.1131655979957687,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,12.239999999999998,4443623.544117648,40626.73,1338.7725810076274,553700000.0,497410269.4126778,3,1,12000000.0,10000002,30000142.0,60003760,2026-10-20T15:53:14Z,*mail Aluka 7th for more,23674,1,True,20.0,2.2857142857142856,2.0,787906249.999375,745112499.9995,40.0,-0.2568907379753103,0.5,0.4375,5,5,1.0,0.1166602423226934,55823422.42000002,1,58.6,持续机会,A：重点关注,"1x 'Gjallarhorn' Explosive Doomsday Blueprint [1 runs, ME10/TE10] | 合同价 12000000 ISK | 到期 2026-10-20T15:53:14Z",24549,10.0,10.0,4,24950000.0,24950000.0,24950000.0,24950000.0,same_type_all_ME_TE,12000000.0,-0.5190380761523046,-0.5190380761523046,24950000.0,12950000.0,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,54389952.18000001,SAFE,B,66.9,,444975212.1,554000000.0,18697499.999999996,54738666.899999976,0.11390509049941232,52925843.610000014,0.0064113812574410865,0.0,0.0,554000000.0,554000000.0,554000000.0,True,1.8666666666666667,1.530612244897959,0.23333333333333334,90.0,high,2.040612244897959,0.05581907625233727,7,23674,1
236341035,"1x Capital Shield Emitter Blueprint [40 runs, ME10/TE20]",40x Capital Shield Emitter,3870000.0,407534036.0,19957377.0,14674542.0,917159.0,4365676.0,0.0,16930012.499999996,0.0,0.0,501630000.0,53338574.5,0.1236517057217632,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,96.71111111111112,551524.7822840073,176544.28,302.1257584782696,12480000.0,11160709.262613194,3,40,96750.0,10000002,30000142.0,60003760,2026-09-30T23:08:07Z,40 runs 10/20,21023,40,True,30.0,31.428571428571427,60.86666666666667,14539454.544090908,13178921.138893755,291.0,-0.0530332590602651,0.6571741511500547,1.2727272727272727,6,6,1.0,0.1172580752571005,50483530.0,40,68.8,持续机会,A：重点关注,"1x Capital Shield Emitter Blueprint [40 runs, ME10/TE20] | 合同价 3870000 ISK | 到期 2026-09-30T23:08:07Z",21024,10.0,20.0,55,158099.97045454546,115000.0,97500.0,200000.0,same_type_ME10_TE20,96750.0,-0.3880454264359517,-0.158695652173913,6323998.818181818,2453998.8181818184,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,53338574.5,SAFE,B,60.9,,406666836.0,501630000.0,16930012.499999996,54205774.5,0.12591522223319643,49380876.5,0.016258402256325768,0.0,0.001532643312101911,12560000.0,12540750.0,12480000.0,True,60.86666666666667,1.8776404318572995,0.1,90.0,high,5.90727006148693,0.021315298085678187,9,21023,40
236200911,"1x Dromi I Blueprint [50 runs, ME10/TE20]",50x Dromi I,12500000.0,551781000.0,28358913.0,20852142.0,1303259.0,6203512.0,0.0,23658750.0,0.0,0.0,701000000.0,84701337.0,0.1429220934027776,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,68.0,1245607.8970588236,408345.0,207.42591925944973,14020000.0,12266802.856403625,2,50,250000.0,10000002,30000142.0,60003760,2026-10-17T14:44:03Z,10/20 - 50 Runs,40347,50,True,30.0,33.285714285714285,44.86666666666667,14604047.21107296,13855570.579390788,279.0,0.0118673871759413,1.1144130757800892,1.5021459227467813,4,4,1.0,0.1149523018278144,69848128.38000005,3,67.7,周期机会,B+：可重点做,"1x Dromi I Blueprint [50 runs, ME10/TE20] | 合同价 12500000 ISK | 到期 2026-10-17T14:44:03Z",41373,10.0,20.0,3,233333.3333333333,250000.0,225000.0,250000.0,same_type_ME10_TE20,250000.0,0.0714285714285714,0.0,11666666.666666668,-833333.3333333321,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,84701337.0,CHANGED,C,32.4,live_revalidation_changed_or_failed,551936787.94,701000000.0,23658749.999999996,84545549.05999994,0.14262173110556556,-34677545.5,-0.0018392618761148625,0.003083739674229256,0.0,14020000.0,14020000.0,14020000.0,True,44.86666666666667,3.1840373593716835,0.0,65.0,medium,6.017370692705017,0.02370166944816427,7,40347,50
236195285,"1x Standup Siren I Blueprint [50 runs, ME10/TE20]",50x Standup Siren I,7760000.0,767679300.0,40847210.0,30034713.0,1877170.0,8935327.0,0.0,31522500.0,0.0,0.0,934000000.0,86190990.0,0.1055891392839506,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,64.6,1334225.851393189,601545.0,143.28269705508316,18680000.0,16895969.15912031,1,50,155200.0,10000002,30000142.0,60003760,2026-10-17T12:13:19Z,10/20 - 50 Runs,47037,50,True,29.0,36.333333333333336,31.6896551724138,21505137.61155964,21686692.05572361,217.0,-0.1386422626372876,1.5778019586507073,1.3761467889908257,2,2,1.0,0.1093840417819899,88983126.07999998,4,39.6,深度不足型瞬时机会,C：抢单型，先确认买盘,"1x Standup Siren I Blueprint [50 runs, ME10/TE20] | 合同价 7760000 ISK | 到期 2026-10-17T12:13:19Z",47228,10.0,20.0,3,155436.84666666668,155555.0,155377.5,155555.27000000002,same_type_ME10_TE20,155200.0,-0.0015237485303249,-0.0022821510076821,7771842.333333334,11842.333333333954,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,86190990.0,CHANGED,C,27.8,live_revalidation_changed_or_failed,767878962.94,934000000.0,31522499.999999996,85991327.05999994,0.10531877931301975,-518515689.586375,-0.002316517538550807,0.003322835498674975,0.0,18680000.0,18680000.0,18680000.0,True,30.9,4.623208506703652,0.0,65.0,medium,7.314875173370319,0.014397891531550806,7,47037,50
236113168,"1x Standup L-Set Thukker Basic Capital Component Manufacturing Efficiency Blueprint [1 runs, ME0/TE0]",1x Standup L-Set Thukker Basic Capital Component Manufacturing Efficiency,5000000.0,2517880000.0,26051489.0,19155507.0,1197219.0,5698763.0,0.0,96862500.0,0.0,0.0,2870000000.0,224206011.0,0.0879607835548223,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,0.85,263771777.64705884,60.0,3736766.85,2870000000.0,2637962731.177232,2,1,5000000.0,10000036,30002974.0,60015185,2026-10-14T18:29:52Z,,45546,1,True,1.0,0.0,2.0,0.0,3038000000.0,2.0,-0.0552995391705068,0.5,,1,1,1.0,0.0879607835548223,224206011.0,4,53.4,新机会/待观察,B-：当前不错，继续观察,"1x Standup L-Set Thukker Basic Capital Component Manufacturing Efficiency Blueprint [1 runs, ME0/TE0] | 合同价 5000000 ISK | 到期 2026-10-14T18:29:52Z",45547,0.0,0.0,10,34243545.45454545,32222727.27272728,21250000.0,37992500.0,same_type_ME0_TE0,5000000.0,-0.8539870818389133,-0.8448300183382705,34243545.45454545,29243545.454545453,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,224206011.0,DANGER,D,23.7,live_revalidation_changed_or_failed,2517926200.0,2870000000.0,96862499.99999999,224159811.0,0.08794106435978302,185116311.0,-0.0002060604878251904,0.0004974160206718347,0.0,2870000000.0,2870000000.0,2870000000.0,True,1.2727272727272727,2.2448979591836737,0.09090909090909091,80.0,high,2.2803146258503406,0.03856532048817139,2,45546,1
236280864,"1x Ice Harvester I Blueprint [300 runs, ME10/TE20]",300x Ice Harvester I,2000000.0,735529744.8,36733594.0,27009995.0,1688125.0,8035474.0,0.0,29492977.5,0.0,0.0,873866000.0,70109683.70000005,0.0905501787139505,Ukkalen,Ukkalen IX - Moon 15 - Sukuuvestaa Corporation Foundry,0.0119,12,95.2,736446.2573529417,152205.9,460.62395544456587,2912000.0,2671024.8858990944,3,300,6666.666666666667,10000043,30002187.0,60008494,2026-10-19T20:12:44Z,,16278,300,True,30.0,416.7142857142857,349.43333333333334,3181893.040795338,3267183.7260040063,1802.0,-0.1087125046495076,0.8585328627301345,0.7199177236887213,5,5,1.0,0.0983967912512318,89747825.14999998,1,59.1,持续机会,A：重点关注,"1x Ice Harvester I Blueprint [300 runs, ME10/TE20] | 合同价 2000000 ISK | 到期 2026-10-19T20:12:44Z",16279,10.0,20.0,5,29530.34682080925,31250.0,28901.73410404624,31250.0,same_type_ME10_TE20,6666.666666666667,-0.7742435364162792,-0.7866666666666666,8859104.046242775,6859104.046242775,JITA_BUY_DEPTH_ONLY,2026-09-24T15:04:38.228070+00:00,70109683.70000005,DANGER,D,11.2,live_revalidation_changed_or_failed,735431233.24,873866000.0,29492977.499999996,70208195.25999999,0.09068894993628358,69232239.70000005,0.0014051063248477144,0.000564241147726849,0.0003820636010066879,2914000.0,2912886.6666666665,2912000.0,True,349.43333333333334,2.4529510363718128,0.06666666666666667,80.0,high,6.41961770303848,0.01412684588575414,7,16278,300
