channel,contract_id,last_sent_at,metric,push_count
bpc-value,235347163,2026-09-04 09:46:44.055493+00:00,92931748.0,9
bpc-value,235620123,2026-09-03 11:54:54.185934+00:00,33950000.0,1
bpc-value,235629246,2026-09-03 11:54:54.185934+00:00,51574999.75,1
bpc-value,235638120,2026-09-03 11:54:54.185934+00:00,30120175.438596487,1
bpc-value,235651518,2026-09-03 11:54:54.185934+00:00,28800000.0,1
bpc-value,235652657,2026-09-12 19:25:02.438773+00:00,74309333.33333333,3
bpc-value,235659656,2026-09-04 13:56:14.048954+00:00,401718598.3800001,6
bpc-value,235660510,2026-09-03 11:54:54.185934+00:00,29749761.904761907,1
bpc-value,235664449,2026-09-03 11:54:54.185934+00:00,22534187.96581196,1
bpc-value,235664452,2026-09-03 11:54:54.185934+00:00,22534187.96581196,1
bpc-value,235664458,2026-09-03 11:54:54.185934+00:00,22534187.96581196,1
spot-deals,234796351,,21140127.06625,2
spot-deals,235504511,,40472215.05788687,5
spot-deals,235676727,,46495154.17500001,5
spot-deals,235259895,2026-09-04 13:56:05.366237+00:00,37818750000.0,3
spot-deals,235320750,2026-09-04 13:56:05.366237+00:00,33030750000.0,3
spot-deals,235282239,2026-09-04 13:56:05.366237+00:00,32980750000.0,3
spot-deals,235585264,2026-09-04 13:56:05.366237+00:00,7332919597.425,3
spot-deals,235500730,2026-09-12 13:50:21.139272+00:00,6564235000.0,4
spot-deals,235180229,2026-09-04 13:56:05.366237+00:00,6405752457.336667,3
spot-deals,235072942,2026-09-04 13:56:05.366237+00:00,5441776250.0,3
spot-deals,235528388,2026-09-12 13:50:21.139272+00:00,2806172500.0,4
spot-deals,234858145,2026-09-04 13:56:05.366237+00:00,4502747500.0,3
spot-deals,235336731,2026-09-04 13:56:05.366237+00:00,4066977491.75,3
bpc-value,235536482,2026-09-13 15:05:07.348609+00:00,270596637.68115944,17
bpc-value,235690835,2026-09-04 13:56:14.048954+00:00,169097282.6086956,5
bpc-value,235199873,2026-09-13 15:05:07.348609+00:00,94442140.46875627,11
bpc-value,235199880,2026-09-13 15:05:07.348609+00:00,94442140.46875627,10
bpc-value,235008411,2026-09-04 13:56:14.048954+00:00,134567307.6923077,5
bpc-value,235199864,2026-09-12 19:25:02.438773+00:00,74092499.9625,6
bpc-value,235407302,2026-09-13 14:25:42.489834+00:00,85866655.80606063,7
bpc-value,235205313,2026-09-04 02:15:13.297254+00:00,111111086.00000006,1
bpc-value,235432601,2026-09-04 02:52:43.256021+00:00,86128124.69999999,2
bpc-value,235478679,2026-09-13 15:05:07.348609+00:00,127591104.66666666,13
bpc-value,235038871,2026-09-04 13:56:14.048954+00:00,733849999.74,2
bpc-value,235545331,2026-09-04 13:56:14.048954+00:00,733849999.74,2
bpc-value,235313506,2026-09-13 15:05:07.348609+00:00,163999992.4571427,13
spot-deals,235956282,2026-09-12 13:50:21.139272+00:00,25502975000.0,1
spot-deals,235940460,2026-09-12 13:50:21.139272+00:00,24502975000.0,1
spot-deals,235852492,2026-09-12 13:50:21.139272+00:00,4467000000.0,1
spot-deals,235630934,2026-09-12 13:50:21.139272+00:00,3093681750.0,1
spot-deals,235372229,2026-09-12 13:50:21.139272+00:00,3009825000.0,1
spot-deals,235824675,2026-09-12 13:50:21.139272+00:00,2190146250.0,1
spot-deals,235505265,2026-09-12 13:50:21.139272+00:00,1849908250.0,1
spot-deals,235697355,2026-09-12 13:50:21.139272+00:00,1156189750.0,1
bpc-value,235808640,2026-09-12 14:43:15.610644+00:00,142598433.0,3
bpc-value,235749284,2026-09-12 15:08:13.872029+00:00,119780357.14285712,4
bpc-value,235796295,2026-09-12 15:08:13.872029+00:00,112323214.2857143,4
bpc-value,235876501,2026-09-12 15:08:13.872029+00:00,116000000.0,4
bpc-value,235876509,2026-09-12 15:08:13.872029+00:00,116000000.0,4
bpc-value,235876540,2026-09-12 15:08:13.872029+00:00,116000000.0,4
spot-deals,235968900,2026-09-12 14:24:12.964988+00:00,106371487.5,1
spot-deals,235488250,2026-09-13 22:02:13.411610+00:00,44037800.0,5
spot-deals,235559436,2026-09-13 22:02:13.411610+00:00,51448135.0,5
spot-deals,235856259,2026-09-13 20:02:58.243282+00:00,33358355.625,4
bpc-value,235968114,2026-09-12 14:43:15.610644+00:00,342776862.5,2
spot-deals,235932563,2026-09-12 14:43:09.819079+00:00,41446056.55691254,1
multi-item-buy-only,235488250,,44037800.0,9
multi-item-buy-only,235559436,,51448135.0,9
multi-item-buy-only,235932563,,45769290.95691246,4
multi-item-buy-only,235856259,,33358355.625,7
bpc-value,235968052,2026-09-12 15:27:24.252780+00:00,127108511.5,2
bpc-value,235962299,2026-09-16 15:30:09.378956+00:00,144412283.0,54
bpc-value,235937476,2026-09-13 15:05:07.348609+00:00,101090181.81818184,8
bpc-value,235937480,2026-09-13 15:05:07.348609+00:00,101090181.81818184,8
bpc-value,235907951,2026-09-13 20:03:02.065733+00:00,154294335.0,11
bpc-value,235971174,2026-09-12 17:16:02.886487+00:00,75329347.82608695,1
bpc-value,235679857,2026-09-16 08:37:08.621940+00:00,301560065.0,43
bpc-value,235139699,2026-09-12 23:23:06.731387+00:00,102001856.0,1
multi-item-buy-only,235987544,,39807935.212499976,1
bpc-value,235944345,2026-09-13 18:00:48.730571+00:00,47499334.5,3
bpc-value,236009370,2026-09-14 02:45:32.678960+00:00,125802358.7,7
bpc-value,235257268,2026-09-14 10:34:55.595057+00:00,72868600.0,7
bpc-value,235649181,2026-09-14 02:45:32.678960+00:00,80371008.25,7
bpc-value,235825953,2026-09-15 15:27:16.638888+00:00,53098626.45999998,2
bpc-value,235656726,2026-09-14 02:45:32.678960+00:00,120685411.32000004,6
spot-deals,235966557,2026-09-13 22:02:13.411610+00:00,30072400.16649997,1
multi-item-buy-only,235966557,,30133216.71450007,2
bpc-value,236036044,2026-09-16 04:57:05.533185+00:00,127149958.05999994,31
bpc-value,236037052,2026-09-17 01:26:04.309925+00:00,97561134.83000004,40
spot-deals,236052514,2026-09-14 20:03:16.436055+00:00,77133852.66624999,1
bpc-value,235516411,2026-09-15 17:57:27.705360+00:00,120617865.0,2
multi-item-buy-only,236052514,,77133852.66624999,1
bpc-value,236042402,2026-09-15 07:53:46.876335+00:00,135452802.16000003,2
bpc-value,235604967,2026-09-15 09:55:56.564455+00:00,62067288.0,2
spot-deals,236059847,2026-09-17 00:26:13.602022+00:00,71628875.0,7
bpc-value,235544539,2026-09-15 17:57:27.705360+00:00,60170684.5,6
bpc-value,235814441,2026-09-15 18:27:37.731705+00:00,60039140.5,13
multi-item-buy-only,236069700,,38029010.7875,3
spot-deals,236079005,2026-09-15 17:25:48.673225+00:00,85350331.20000005,1
multi-item-buy-only,236079005,,85207113.625,3
multi-item-buy-only,236078985,,65645911.26703751,6
bpc-value,236079068,2026-09-15 20:56:28.311171+00:00,60915531.5,2
bpc-value,236079076,2026-09-16 12:39:03.942995+00:00,61559259.0,16
multi-item-buy-only,236070106,,106805109.92524992,2
bpc-value,235765211,2026-09-16 12:12:06.693773+00:00,59579465.5,12
bpc-value,236042409,2026-09-16 10:38:30.999266+00:00,136170053.88,3
bpc-value,236054915,2026-09-19 00:29:31.494257+00:00,49740679.0,19
spot-deals,236106304,2026-09-16 15:30:07.332482+00:00,42036075.0,1
multi-item-buy-only,236106304,,42036075.0,1
bpc-value,236108912,2026-09-17 01:26:04.309925+00:00,144388770.75,3
bpc-value,235723468,2026-09-17 01:26:04.309925+00:00,66130264.15999997,2
bpc-value,236011267,2026-09-17 01:26:04.309925+00:00,80959280.80999994,1
spot-deals,236125732,2026-09-17 22:57:45.483950+00:00,77167375.0,4
bpc-value,236122582,2026-09-19 13:01:04.323999+00:00,61499315.94999999,38
bpc-value,236011279,2026-09-18 14:11:48.533018+00:00,81985955.0,6
bpc-value,235864065,2026-09-17 20:59:33.863865+00:00,76370050.0,2
bpc-value,235477893,2026-09-18 06:27:27.026454+00:00,71214372.5,3
spot-deals,236150588,2026-09-18 03:24:57.274578+00:00,551979567.0218124,3
multi-item-buy-only,236150588,,551185893.5233126,1
spot-deals,236150895,2026-09-18 02:58:03.264523+00:00,68725125.0,1
bpc-value,236161979,2026-09-18 15:39:52.942201+00:00,53263235.0,3
spot-deals,236170413,2026-09-18 18:33:25.273000+00:00,130794135.08875,1
multi-item-buy-only,236170413,,130794135.08875,1
bpc-value,236171455,2026-09-19 02:29:51.409930+00:00,85383968.0,8
bpc-value,236151523,2026-09-18 19:05:03.409007+00:00,46449329.25,1
bpc-value,236185211,2026-09-19 06:59:45.723847+00:00,53579159.0,2
bpc-value,236065065,2026-09-19 06:01:02.080102+00:00,41609331.26999998,1
bpc-value,236108654,2026-09-20 00:33:36.780341+00:00,57345602.80000001,21
bpc-value,236186111,2026-09-19 13:57:47.352879+00:00,45631185.97000003,9
bpc-value,236100669,2026-09-19 23:57:50.195439+00:00,92217960.0,23
spot-deals,236190157,2026-09-19 09:56:57.684146+00:00,62148180.32499999,1
bpc-value,236190378,2026-09-19 09:56:59.796233+00:00,106951089.75,1
multi-item-buy-only,236190157,,62148180.32499999,1
bpc-value,236193215,2026-09-19 13:01:04.323999+00:00,290603379.65,3
spot-deals,236194098,2026-09-19 12:30:57.929216+00:00,109304647.4225,1
bpc-value,236194060,2026-09-20 21:31:22.757579+00:00,64014887.0,36
multi-item-buy-only,236194098,,109306335.46125,2
bpc-value,236195152,2026-09-22 15:06:38.879712+00:00,76414148.10000002,90
bpc-value,236195511,2026-09-22 15:06:38.879712+00:00,63367946.85000002,88
bpc-value,236174479,2026-09-19 16:28:10.681879+00:00,146275626.81999993,5
spot-deals,236199299,2026-09-19 14:58:00.893089+00:00,61291421.75,1
bpc-value,236198368,2026-09-19 14:58:02.864785+00:00,45819546.25,1
multi-item-buy-only,236199299,,61291421.75,1
bpc-value,236199599,2026-09-19 17:27:29.419505+00:00,46848722.370000005,5
bpc-value,236200905,2026-09-20 08:28:57.208555+00:00,65768421.05999994,23
bpc-value,235443419,2026-09-22 15:06:38.879712+00:00,52620427.712499976,85
bpc-value,236199609,2026-09-19 19:27:36.574700+00:00,46051356.25,4
bpc-value,236199626,2026-09-19 20:59:10.904375+00:00,46275712.35000002,1
spot-deals,236218078,2026-09-20 01:32:18.503978+00:00,30319237.5,1
bpc-value,236165304,2026-09-20 02:32:26.565308+00:00,81424687.0,3
bpc-value,236140040,2026-09-20 16:03:32.804053+00:00,50197739.35000002,19
bpc-value,236165321,2026-09-20 06:58:08.553784+00:00,81622575.75,5
bpc-value,236222360,2026-09-20 09:32:30.679400+00:00,92157519.74,7
bpc-value,236165535,2026-09-20 08:59:46.597595+00:00,81622175.75,3
bpc-value,236220273,2026-09-20 11:00:05.007733+00:00,54147464.80000001,6
bpc-value,235512766,2026-09-21 09:07:25.819498+00:00,51187290.0,13
bpc-value,236162060,2026-09-20 11:00:05.007733+00:00,43937355.5,1
bpc-value,236111362,2026-09-20 17:00:20.411120+00:00,80604284.5,8
bpc-value,235873707,2026-09-21 08:32:46.921046+00:00,74056209.80000001,23
bpc-value,236227119,2026-09-20 22:00:26.679143+00:00,49982016.0,6
bpc-value,236236679,2026-09-20 17:31:51.187388+00:00,50881054.0,2
bpc-value,236237104,2026-09-20 17:31:51.187388+00:00,95466321.44,1
bpc-value,236237636,2026-09-20 21:31:22.757579+00:00,52525568.60000002,7
spot-deals,236244497,2026-09-20 18:02:25.859015+00:00,33402912.61587501,1
multi-item-buy-only,236244497,,33402912.61587501,1
bpc-value,235979706,2026-09-20 22:00:26.679143+00:00,72166497.0,7
bpc-value,236100581,2026-09-22 15:06:38.879712+00:00,86314830.20000005,47
bpc-value,236230726,2026-09-21 10:00:22.036322+00:00,47756659.0,8
bpc-value,236245873,2026-09-22 08:34:59.125047+00:00,64241953.69999999,36
bpc-value,236201153,2026-09-21 03:32:45.052752+00:00,51758323.69,4
bpc-value,236037058,2026-09-22 01:00:42.065649+00:00,55168021.01999998,23
spot-deals,236253255,2026-09-21 05:02:48.200552+00:00,81582408.19625,1
spot-deals,236253300,2026-09-21 05:02:48.200552+00:00,55527564.3663125,1
multi-item-buy-only,236253255,,81582408.19625,2
multi-item-buy-only,236253300,,55527564.3663125,2
bpc-value,235863996,2026-09-21 05:32:21.738680+00:00,67344535.0,1
bpc-value,235937778,2026-09-21 21:05:55.723742+00:00,73462863.0,11
multi-item-buy-only,236264938,,209336230.5875,1
bpc-value,236230727,2026-09-21 15:12:19.588421+00:00,49637527.5,3
bpc-value,236266270,2026-09-22 01:28:11.833894+00:00,46770175.0,4
bpc-value,236268592,2026-09-21 19:34:53.548230+00:00,49313193.5,5
bpc-value,236273646,2026-09-21 23:28:54.779737+00:00,62721516.15999997,7
bpc-value,235866454,2026-09-21 20:32:53.838832+00:00,105024224.73000002,1
bpc-value,236276508,2026-09-22 09:59:15.406445+00:00,47224850.5,15
bpc-value,236187738,2026-09-22 07:59:23.661260+00:00,67402185.39999998,9
multi-item-buy-only,236283303,,72544573.05808753,1
bpc-value,236285290,2026-09-22 10:33:56.561569+00:00,73701419.49000001,5
bpc-value,236190493,2026-09-22 07:59:23.661260+00:00,81028278.85000002,1
bpc-value,236293099,2026-09-22 11:32:14.795603+00:00,64697747.69,3
bpc-value,236293339,2026-09-22 13:34:44.362990+00:00,47008130.69,3
bpc-value,236294509,2026-09-22 15:06:38.879712+00:00,75007071.63999999,5
bpc-value,236296599,2026-09-22 15:06:38.879712+00:00,69740869.85000002,4
bpc-value,236293342,2026-09-22 15:06:38.879712+00:00,54405959.10000002,2
bpc-value,236221136,2026-09-22 15:06:38.879712+00:00,85431200.70000005,1
bpc-value,236280857,2026-09-22 15:06:38.879712+00:00,78978376.10000002,1
